stem,method,region_h,region_w,niqe,brisque,ocr_conf_sum,ocr_n_detections
sc_h_21,navier_stokes,168,116,5.162216507620573,23.09100341796875,0.0,0
sc_h_21,lama_manual_mask,168,116,5.3599538966073546,21.11053466796875,0.0,0
sc_h_21,lama_dilated,168,116,5.85566628758544,20.57830810546875,0.0,0
sc_h_21,lama_auto,168,116,6.026719961349558,19.51678466796875,0.0,0
sc_h_22,raw,153,133,11.197142264286985,20.90838623046875,1.144969787393245,3
sc_h_22,telea,153,133,8.206250641627458,28.59393310546875,0.0,0
sc_h_22,navier_stokes,153,133,9.39288850549621,21.31658935546875,0.0,0
sc_h_22,lama_manual_mask,153,133,10.83892079059886,21.12469482421875,0.0,0
sc_h_22,lama_dilated,153,133,10.686061523052755,20.30145263671875,0.0,0
sc_h_22,lama_auto,153,133,10.414589298195752,18.21942138671875,0.0,0
sc_h_23,raw,152,101,12.546432827166802,54.79901123046875,1.0905255760413113,2
sc_h_23,telea,152,101,11.14321193700018,40.34100341796875,0.0,0
sc_h_23,navier_stokes,152,101,8.580844984020057,43.53045654296875,0.0,0
sc_h_23,lama_manual_mask,152,101,8.831105733229354,46.91815185546875,0.0,0
sc_h_23,lama_dilated,152,101,9.0324493571336,41.98651123046875,0.0,0
sc_h_23,lama_auto,152,101,8.388296296448345,41.39569091796875,0.0,0
sc_h_24,raw,173,125,8.016340423853068,26.26190185546875,2.1779078215517407,4
sc_h_24,telea,173,125,7.254236357802427,30.59197998046875,0.0,0
sc_h_24,navier_stokes,173,125,7.3431493025185395,27.73651123046875,0.0,0
sc_h_24,lama_manual_mask,173,125,6.907728020788885,26.31463623046875,0.0,0
sc_h_24,lama_dilated,173,125,8.480106894664486,21.24237060546875,0.0,0
sc_h_24,lama_auto,173,125,7.531172241811446,23.75506591796875,0.0,0
sc_h_25,raw,171,120,6.675865856736243,35.59393310546875,0.0,0
sc_h_25,telea,171,120,7.736150866885247,35.64178466796875,0.0,0
sc_h_25,navier_stokes,171,120,5.5007623600831455,31.70330810546875,0.0,0
sc_h_25,lama_manual_mask,171,120,4.79848602620857,27.11444091796875,0.0,0
